limit_score,turunan_score,aplikasi_turunan_score,integral_tentu_score,teknik_integrasi_score,integral_lipat_score
98.2,82.5,93.3,67.7,67.1,73.4
66.6,62.0,58.2,56.3,40.3,60.2
100.0,98.2,63.5,87.2,63.0,78.5
41.4,47.5,62.9,47.1,23.0,38.4
49.5,52.9,59.0,41.5,43.2,26.4
64.9,63.6,75.5,64.1,73.7,65.9
65.9,54.1,67.5,59.5,61.8,49.7
95.9,91.9,90.4,92.1,47.6,74.6
48.2,46.8,82.3,36.5,53.5,63.6
63.4,39.1,44.6,29.5,52.1,37.8
36.9,53.8,34.9,30.0,23.3,37.4
99.7,100.0,70.1,100.0,77.3,61.7
81.9,82.0,76.2,75.9,60.4,54.4
94.5,57.6,81.3,59.5,45.2,58.7
83.6,84.8,86.1,13.9,79.1,33.8
56.8,33.9,79.0,51.2,53.8,56.1
67.3,72.1,53.9,44.7,49.1,29.5
52.9,20.1,32.5,44.3,9.4,18.8
100.0,65.0,100.0,69.5,53.2,82.2
48.3,51.1,55.7,63.6,55.6,40.6
61.1,80.1,52.3,81.8,82.1,51.9
64.2,40.4,8.4,24.1,33.3,26.7
64.2,83.1,93.9,71.5,56.5,71.6
74.2,89.0,94.1,81.3,86.9,90.4
82.0,99.3,100.0,87.8,71.9,85.6
58.9,65.4,33.6,39.1,57.4,46.2
61.9,45.4,88.8,68.9,62.2,44.3
33.5,26.0,43.4,27.7,0.0,12.9
31.4,23.1,53.0,29.3,38.2,28.5
66.7,64.5,46.2,82.4,47.8,69.0
60.3,69.4,89.2,55.0,40.9,68.6
100.0,45.4,90.4,58.8,69.2,57.1
58.4,43.5,41.5,42.4,40.0,37.2
40.5,35.8,41.3,34.5,0.0,22.2
54.2,86.1,56.0,62.8,62.2,36.1
35.0,8.8,25.3,24.1,33.7,18.5
39.8,28.0,36.4,44.2,38.1,32.3
30.5,80.5,33.5,64.2,49.3,33.6
16.8,48.8,49.1,0.0,15.2,0.0
53.1,57.4,88.8,91.8,75.0,41.2
45.9,64.5,57.7,64.3,38.6,45.4
72.8,92.8,93.1,83.2,93.3,72.2
93.6,34.2,66.3,44.7,60.6,58.3
31.8,9.6,49.3,32.5,29.0,36.5
100.0,90.0,77.7,65.4,49.5,78.3
100.0,100.0,89.2,99.6,83.5,83.6
55.1,29.2,43.4,24.8,39.6,32.2
33.2,46.8,39.0,53.7,16.4,18.8
76.0,77.6,88.2,45.2,59.7,52.2
56.9,71.2,39.7,24.8,34.8,15.1
55.8,38.2,47.3,43.8,33.9,46.6
