nim,limit_score,turunan_score,aplikasi_turunan_score,integral_tentu_score,teknik_integrasi_score,integral_lipat_score,total_score,jumlah_benar,jumlah_salah,waktu_detik,mudah_score,sedang_score,sulit_score,konsistensi_score,attempt_ke,level_quiz,label_referensi
202300001,98.2,82.5,93.3,67.7,67.1,73.4,80.4,15,5,1067,100.0,95.7,76.8,13.23,3,Sulit,Mahir
202300002,66.6,62.0,58.2,56.3,40.3,60.2,57.3,17,3,1241,67.5,47.7,49.1,9.03,4,Sedang,Menengah
202300003,100.0,98.2,63.5,87.2,63.0,78.5,81.7,14,6,1230,98.4,83.1,69.7,16.3,2,Sedang,Mahir
202300004,41.4,47.5,62.9,47.1,23.0,38.4,43.4,8,12,1203,55.5,45.2,28.3,13.08,1,Mudah,Menengah
202300005,49.5,52.9,59.0,41.5,43.2,26.4,45.4,7,13,1334,39.2,38.6,20.5,11.31,1,Sedang,Pemula
202300006,64.9,63.6,75.5,64.1,73.7,65.9,68.0,14,6,1159,100.0,86.2,54.8,5.24,2,Sulit,Mahir
202300007,65.9,54.1,67.5,59.5,61.8,49.7,59.8,12,8,1082,70.9,61.1,42.3,6.86,2,Sulit,Menengah
202300008,95.9,91.9,90.4,92.1,47.6,74.6,82.1,15,5,766,100.0,97.4,71.3,18.45,1,Sedang,Mahir
202300009,48.2,46.8,82.3,36.5,53.5,63.6,55.2,11,9,1255,55.9,51.4,43.4,15.98,2,Sedang,Pemula
202300010,63.4,39.1,44.6,29.5,52.1,37.8,44.4,5,15,1131,66.4,65.3,32.7,11.95,1,Sedang,Menengah
202300011,36.9,53.8,34.9,30.0,23.3,37.4,36.1,10,10,1101,50.9,26.8,12.2,10.18,1,Sedang,Pemula
202300012,99.7,100.0,70.1,100.0,77.3,61.7,84.8,17,3,1075,99.3,76.6,71.5,17.26,3,Sedang,Mahir
202300013,81.9,82.0,76.2,75.9,60.4,54.4,71.8,17,3,1292,73.7,77.9,68.2,11.62,1,Mudah,Menengah
202300014,94.5,57.6,81.3,59.5,45.2,58.7,66.1,11,9,777,92.1,66.4,67.2,18.14,2,Mudah,Mahir
202300015,83.6,84.8,86.1,13.9,79.1,33.8,63.6,12,8,1276,80.7,68.5,44.2,31.48,2,Sedang,Menengah
202300016,56.8,33.9,79.0,51.2,53.8,56.1,55.1,10,10,777,74.5,53.5,35.5,14.43,2,Mudah,Pemula
202300017,67.3,72.1,53.9,44.7,49.1,29.5,52.8,11,9,1117,63.2,60.6,45.6,15.53,1,Mudah,Menengah
202300018,52.9,20.1,32.5,44.3,9.4,18.8,29.7,6,14,1608,31.6,30.6,3.4,16.63,2,Sulit,Pemula
202300019,100.0,65.0,100.0,69.5,53.2,82.2,78.3,15,5,962,88.9,81.3,68.3,19.19,1,Sedang,Mahir
202300020,48.3,51.1,55.7,63.6,55.6,40.6,52.5,14,6,1155,67.3,63.4,47.8,7.8,2,Mudah,Menengah
202300021,61.1,80.1,52.3,81.8,82.1,51.9,68.2,14,6,1214,86.3,63.2,53.2,14.76,1,Mudah,Menengah
202300022,64.2,40.4,8.4,24.1,33.3,26.7,32.8,12,8,975,39.4,36.7,44.0,18.72,4,Sedang,Pemula
202300023,64.2,83.1,93.9,71.5,56.5,71.6,73.5,13,7,1066,85.4,77.4,59.2,13.35,3,Sedang,Mahir
202300024,74.2,89.0,94.1,81.3,86.9,90.4,86.0,17,3,996,100.0,85.4,76.7,7.16,1,Sedang,Mahir
202300025,82.0,99.3,100.0,87.8,71.9,85.6,87.8,18,2,1317,94.2,77.3,62.7,10.7,1,Sedang,Mahir
202300026,58.9,65.4,33.6,39.1,57.4,46.2,50.1,9,11,1008,68.3,48.3,37.8,12.44,1,Mudah,Pemula
202300027,61.9,45.4,88.8,68.9,62.2,44.3,61.9,14,6,1083,63.4,70.4,53.1,16.46,2,Sedang,Menengah
202300028,33.5,26.0,43.4,27.7,0.0,12.9,23.9,3,17,1138,39.9,32.4,13.3,15.38,2,Mudah,Pemula
202300029,31.4,23.1,53.0,29.3,38.2,28.5,33.9,5,15,1071,66.4,40.5,27.4,10.55,2,Sedang,Pemula
202300030,66.7,64.5,46.2,82.4,47.8,69.0,62.8,11,9,1274,82.2,55.6,49.3,13.72,3,Mudah,Menengah
202300031,60.3,69.4,89.2,55.0,40.9,68.6,63.9,12,8,1110,80.3,65.4,45.7,16.21,2,Mudah,Menengah
202300032,100.0,45.4,90.4,58.8,69.2,57.1,70.2,17,3,963,81.9,79.2,69.8,21.04,2,Mudah,Mahir
202300033,58.4,43.5,41.5,42.4,40.0,37.2,43.8,6,14,1154,58.4,49.6,23.8,7.46,1,Sulit,Pemula
202300034,40.5,35.8,41.3,34.5,0.0,22.2,29.0,7,13,1213,39.9,33.5,0.0,15.79,2,Mudah,Pemula
202300035,54.2,86.1,56.0,62.8,62.2,36.1,59.6,11,9,1037,85.5,71.1,64.8,16.21,2,Mudah,Menengah
202300036,35.0,8.8,25.3,24.1,33.7,18.5,24.2,6,14,1117,60.4,35.2,4.9,9.78,3,Mudah,Pemula
202300037,39.8,28.0,36.4,44.2,38.1,32.3,36.5,6,14,1199,60.0,50.9,25.2,5.7,1,Sedang,Pemula
202300038,30.5,80.5,33.5,64.2,49.3,33.6,48.6,11,9,1093,68.4,65.1,57.2,20.21,1,Sedang,Menengah
202300039,16.8,48.8,49.1,0.0,15.2,0.0,21.6,8,12,1192,29.8,42.0,10.8,22.33,1,Sulit,Pemula
202300040,53.1,57.4,88.8,91.8,75.0,41.2,67.9,13,7,1121,71.2,66.1,54.1,20.5,4,Sedang,Menengah
202300041,45.9,64.5,57.7,64.3,38.6,45.4,52.7,12,8,1151,87.8,55.2,43.9,10.93,2,Sedang,Menengah
202300042,72.8,92.8,93.1,83.2,93.3,72.2,84.6,15,5,931,87.8,84.6,56.5,10.1,1,Sedang,Mahir
202300043,93.6,34.2,66.3,44.7,60.6,58.3,59.6,13,7,1046,83.5,77.2,58.5,20.35,1,Mudah,Menengah
202300044,31.8,9.6,49.3,32.5,29.0,36.5,31.4,3,17,1623,54.8,47.9,21.7,12.87,2,Sulit,Pemula
202300045,100.0,90.0,77.7,65.4,49.5,78.3,76.8,16,4,1340,100.0,92.1,73.3,17.84,3,Sulit,Mahir
202300046,100.0,100.0,89.2,99.6,83.5,83.6,92.6,16,4,825,97.1,98.0,69.0,8.17,4,Mudah,Mahir
202300047,55.1,29.2,43.4,24.8,39.6,32.2,37.4,7,13,1139,47.2,40.0,17.7,11.02,3,Sedang,Pemula
202300048,33.2,46.8,39.0,53.7,16.4,18.8,34.6,10,10,1070,57.7,44.9,14.3,14.94,3,Mudah,Pemula
202300049,76.0,77.6,88.2,45.2,59.7,52.2,66.5,13,7,1310,70.0,50.1,51.0,16.67,1,Sedang,Menengah
202300050,56.9,71.2,39.7,24.8,34.8,15.1,40.4,8,12,1213,47.7,39.3,20.5,20.67,1,Sulit,Pemula
202300051,55.8,38.2,47.3,43.8,33.9,46.6,44.3,4,16,1241,66.0,45.7,48.7,7.64,2,Sulit,Pemula
202300052,41.6,31.3,45.3,51.4,35.2,17.3,37.0,8,12,1623,47.8,34.2,13.9,12.01,2,Mudah,Pemula
202300053,83.2,99.0,83.7,54.8,33.0,71.7,70.9,16,4,1072,97.7,71.3,52.3,23.67,1,Sedang,Mahir
202300054,75.3,55.4,87.9,45.0,72.9,69.6,67.7,13,7,1177,89.3,76.0,60.3,15.25,2,Sedang,Menengah
202300055,70.0,97.5,97.3,51.6,91.6,93.7,83.6,17,3,1113,99.2,77.6,64.0,18.74,1,Mudah,Menengah
202300056,66.0,64.6,67.7,58.4,91.4,58.8,67.8,14,6,920,88.5,87.5,72.0,12.16,1,Sedang,Mahir
202300057,60.6,57.5,56.8,42.9,43.8,36.3,49.6,10,10,1361,68.5,32.3,37.4,9.91,1,Sedang,Menengah
202300058,74.3,66.4,65.1,32.5,51.6,63.0,58.8,16,4,997,70.8,62.5,40.3,14.82,3,Sedang,Menengah
202300059,34.1,31.0,24.2,22.1,22.8,38.3,28.8,5,15,1486,54.4,46.4,9.0,6.71,2,Sulit,Pemula
202300060,46.1,29.6,36.3,6.5,27.1,44.8,31.7,12,8,1173,56.8,51.8,23.2,14.57,2,Mudah,Pemula
202300061,68.4,62.4,74.8,39.7,58.4,54.1,59.6,15,5,1085,70.6,61.4,53.1,12.2,3,Mudah,Menengah
202300062,87.9,78.2,69.2,80.7,53.7,82.7,75.4,16,4,926,94.9,78.3,55.0,12.29,3,Mudah,Menengah
202300063,87.8,67.1,51.9,70.8,73.5,52.2,67.2,14,6,955,88.7,67.3,59.8,13.68,1,Mudah,Menengah
202300064,73.7,64.2,34.0,53.4,78.5,59.4,60.5,13,7,1107,75.1,54.1,47.6,15.91,3,Sedang,Menengah
202300065,60.2,77.0,84.6,44.5,59.2,34.0,59.9,11,9,707,85.8,70.9,57.1,19.03,1,Sulit,Menengah
