nim,limit_score,turunan_score,aplikasi_turunan_score,integral_tentu_score,teknik_integrasi_score,integral_lipat_score,total_score,jumlah_benar,jumlah_salah,waktu_detik,mudah_score,sedang_score,sulit_score,konsistensi_score,attempt_ke,level_quiz,label_kelompok,cluster,cluster_label
202300001,58.5,60.1,27.6,34.7,20.2,29.6,38.4,8,12,1019,59.3,31.2,24.9,16.82,3,Mudah,Beginner,1,Beginner
202300002,83.7,77.9,94.7,88.3,87.8,61.1,82.3,16,4,658,80.8,91.5,74.4,11.75,1,Sulit,Advanced,0,Intermediate
202300003,62.4,57.5,43.5,46.1,72.8,60.1,57.1,11,9,1045,60.0,44.8,66.4,10.86,2,Mudah,Intermediate,0,Intermediate
202300004,73.7,73.4,48.0,60.9,58.3,64.0,63.0,13,7,1062,73.6,54.4,61.2,9.75,3,Sedang,Intermediate,0,Intermediate
202300005,39.2,38.0,23.1,34.0,28.6,39.0,33.6,7,13,1200,38.6,28.6,33.8,6.56,2,Sulit,Beginner,1,Beginner
202300006,43.0,21.5,23.4,55.4,23.9,46.5,35.6,7,13,1083,32.2,39.4,35.2,14.49,4,Mudah,Beginner,1,Beginner
202300007,49.8,37.4,39.7,45.3,52.8,31.7,42.8,9,11,1484,43.6,42.5,42.2,7.97,4,Mudah,Beginner,1,Beginner
202300008,70.8,81.5,80.6,89.4,92.9,74.3,81.6,16,4,738,76.2,85.0,83.6,8.48,1,Sedang,Advanced,0,Intermediate
202300009,62.5,75.1,56.6,62.0,61.1,65.6,63.8,13,7,845,68.8,59.3,63.4,6.24,1,Sedang,Intermediate,0,Intermediate
202300010,66.0,59.4,83.8,38.9,69.8,57.8,62.6,13,7,768,62.7,61.4,63.8,14.88,4,Sedang,Intermediate,0,Intermediate
202300011,31.2,45.9,39.8,42.7,33.6,41.8,39.2,8,12,1339,38.6,41.2,37.7,5.65,4,Sedang,Beginner,1,Beginner
202300012,87.2,79.6,79.0,96.2,91.8,89.8,87.3,17,3,536,83.4,87.6,90.8,6.84,1,Sulit,Advanced,0,Intermediate
202300013,78.7,93.5,97.9,76.8,79.2,76.7,83.8,17,3,502,86.1,87.4,78.0,9.38,1,Sulit,Advanced,0,Intermediate
202300014,43.1,61.9,23.2,39.6,7.7,42.9,36.4,7,13,1218,52.5,31.4,25.3,18.68,1,Sedang,Beginner,1,Beginner
202300015,32.2,44.1,45.8,33.8,45.1,40.9,40.3,8,12,1074,38.2,39.8,43.0,5.93,4,Sedang,Beginner,1,Beginner
202300016,46.9,41.0,44.2,44.3,19.8,16.3,35.4,7,13,1277,44.0,44.2,18.0,13.63,1,Mudah,Beginner,1,Beginner
202300017,44.6,50.7,26.7,26.2,14.1,23.4,31.0,6,14,971,47.7,26.4,18.8,13.84,2,Sedang,Beginner,1,Beginner
202300018,89.9,75.4,78.9,58.2,58.0,50.3,68.4,14,6,993,82.6,68.6,54.2,15.24,3,Sulit,Intermediate,0,Intermediate
202300019,70.5,51.8,60.4,68.3,77.7,65.7,65.7,13,7,770,61.2,64.4,71.7,8.89,1,Sedang,Intermediate,0,Intermediate
202300020,54.9,13.1,35.5,39.8,22.2,43.7,34.9,7,13,900,34.0,37.6,33.0,15.09,2,Sulit,Beginner,1,Beginner
202300021,64.0,61.2,64.2,77.1,55.3,66.6,64.7,13,7,676,62.6,70.6,61.0,7.19,1,Sedang,Intermediate,0,Intermediate
202300022,25.7,34.1,40.3,51.2,33.7,16.4,33.6,7,13,1460,29.9,45.8,25.0,11.94,3,Sedang,Beginner,1,Beginner
202300023,11.7,47.7,30.6,53.8,6.8,28.4,29.8,6,14,1420,29.7,42.2,17.6,18.74,1,Sedang,Beginner,1,Beginner
202300024,43.8,36.5,36.1,39.6,33.5,35.1,37.4,7,13,1040,40.2,37.8,34.3,3.71,3,Sulit,Beginner,1,Beginner
